airport_name,common_name,icao_code,iata_code,latitude,longitude,airport_class,runway_length_m,n_passengers,n_aircraft,year_stats
Clark International Airport,Clark,RPLC,CRK,15.185833,120.559722,1,3200,1042589,12117,2025
Francisco Bangoy International Airport,Davao,RPMD,DVO,7.125278,125.645833,1,3000,4137449,26510,2025
Iloilo International Airport,Iloilo,RPVI,ILO,10.832778,122.493333,1,2500,2973085,20477,2025
Kalibo International Airport,Kalibo,RPVK,KLO,11.679167,122.375833,1,2500,457798,3008,2025
Laoag International Airport,Laoag,RPLI,LAO,18.178056,120.531944,1,2780,268421,2174,2025
Mactan-Cebu International Airport,Cebu,RPVM,CEB,10.307222,123.978889,1,3310,8643025,79967,2025
Ninoy Aquino International Airport,Manila,RPLL,MNL,14.508333,121.019722,1,3737,27561100,175283,2025
Puerto Princesa International Airport,Puerto Princesa,RPVP,PPS,9.741944,118.758889,1,2600,2020527,12933,2025
Bacolod-Silay Airport,Bacolod,RPVB,BCD,10.776389,123.015278,2,2000,2079342,14682,2025
Bicol International Airport,Legazpi,RPLK,DRP,13.112222,123.677222,2,2500,1056658,7606,2025
Bohol-Panglao International Airport,Bohol,RPSP,TAG,9.566667,123.775,2,2500,1471973,9704,2024
Bancasi Airport,Butuan,RPME,BXU,8.951389,125.478056,2,2100,857017,6708,2024
Cauayan Airport,Cauayan,RPUY,CYZ,16.93,121.753056,2,2096,210569,1744,2025
Cotabato Airport,Cotabato City,RPMC,CBO,7.165,124.209444,2,1900,209870,1742,2025
Daniel Z. Romualdez Airport,Tacloban,RPVA,TAC,11.2275,125.027778,2,2142,1647489,12326,2025
Dipolog Airport,Dipolog,RPMG,DPL,8.601667,123.3425,2,1883,307467,2828,2025
Dumaguete-Sibulan Airport,Dumaguete,RPVD,DGT,9.334167,123.301111,2,1845,844982,6200,2025
General Santos International Airport,General Santos,RPMR,GES,6.057778,125.095833,2,3227,1259144,6520,2025
Godofredo P. Ramos Airport,Caticlan,RPVE,MPH,11.924722,121.955,2,1800,1929398,13966,2024
Labo Airport,Ozamis,RPMO,OZC,8.178525,123.841386,2,1745,372267,3283,2025
Laguindingan International Airport,Laguindingan,RPMY,CGY,8.6125,124.457222,2,2100,2281464,15982,2024
Naga Airport,Naga,RPUN,WNP,13.584722,123.27,2,1402,71896,1208,2025
Pagadian Airport,Pagadian,RPMP,PAG,7.827222,123.458333,2,2004,336339,2758,2025
Roxas Airport,Roxas,RPVR,RXS,11.597778,122.751667,2,1893,369618,2472,2025
Sanga-Sanga Airport,Sanga-Sanga,RPMN,TWT,5.046944,119.742778,2,1860,166770,1372,2025
San Jose Airport,San Jose,RPUH,SJI,12.361389,121.046667,2,1836,39982,514,2025
Subic Bay International Airport,Subic,RPLB,SFS,14.794167,120.270833,2,2744,0,0,2025
Tuguegarao Airport,Tuguegarao,RPUT,TUG,17.638333,121.730556,2,1965,333895,2391,2025
Zamboanga International Airport,Zamboanga,RPMZ,ZAM,6.922222,122.059722,2,2609,1174625,8402,2025
Basco Airport,Basco,RPUO,BSO,20.451389,121.98,3,1244,61510,1067,2025
Calbayog Airport,Calbayog,RPVC,CYP,12.072778,124.545,3,2100,75720,1158,2025
Camiguin Airport,Camiguin,RPMH,CGM,9.253611,124.706944,3,1177,66125,1134,2025
Catarman National Airport,Catarman,RPVF,CRM,12.5025,124.635833,3,1600,42982,648,2025
Cuyo Airport,Cuyo,RPLO,CYU,10.858056,121.069444,3,1524,327,50,2022
Evelio B. Javier Airport,Antique,RPVS,EUQ,10.765833,121.933333,3,1800,17217,278,2025
Francisco B. Reyes Airport,Busuanga,RPVV,USU,12.121389,120.1,3,1225,653493,10818,2025
Jolo Airport,Jolo,RPMJ,JOL,6.053611,121.011111,3,1845,2484,210,2022
Loakan Airport,Baguio,RPUB,BAG,16.375,120.619444,3,1802,8832,144,2024
Marinduque Airport,Marinduque,RPUW,MRQ,13.36,121.825278,3,1534,8929,184,2019
Moises R. Espinosa Airport,Masbate,RPVJ,MBT,12.369444,123.629167,3,1500,48269,801,2025
Ormoc Airport,Ormoc,RPVO,OMC,11.056206,124.565694,3,2100,47,46,2019
Sangley Point Airport,Cavite,RPLS,SGL,14.491317,120.893886,3,2367,0,0,2025
San Vicente Airport,San Vicente,RPSV,SWL,10.525,119.273889,3,1803,12101,316,2025
Sayak Airport,Siargao,RPNS,IAO,9.858889,126.013889,3,1347,611050,10092,2025
Surigao Airport,Surigao,RPMS,SUG,9.7575,125.479444,3,1708,47456,932,2025
Tandag Airport,Tandag,RPMW,TDG,9.072111,126.171444,3,1452,1411,30,2019
Tugdan Airport,Romblon,RPVU,TBH,12.310833,122.084444,3,1390,478,20,2025
Virac Airport,Virac,RPUV,VRC,13.576389,124.205556,3,1886,96913,690,2025
