seaport_name,un_locode,pmo,latitude,longitude,seaport_type,n_vessels,n_passengers,year_stats
Port of Manila North Harbor,PHMNN,NCN,14.596667,120.954444,1,3228,776739,2024
Port of Cebu,PHCEB,CEB,10.306389,123.926111,1,78339,11858004,2025
Port of Danao,PHDNO,CEB,10.52069,124.02929,2,13114,978470,
Port of Sta. Fe,PHSNF*,CEB,11.16489,123.80516,2,19417,1037654,
Port of Toledo,PHTLD,CEB,10.37841,123.63387,2,11876,872091,
Port of Argao,PHARG*,CEB,9.9538,123.62289,2,22517,1043867,
Port of Nasipit,PHNAS,AGS,8.979803,125.336162,1,1133,430819,2024
Batangas International Port,PHBTG,BGS,13.75432,121.04339,1,24434,4879129,2024
Port of Romblon,PHRLN,BGS,12.57834,122.269061,2,2299,305782,2024
Port of Tablas,PHTBH,BGS,12.419678,121.988679,2,943,348232,2024
Port of Ambulong,PHAMB*,BGS,12.49397,122.48937,3,1323,239966,2024
Port of Nasugbu (Wawa),PHNUG,BGS,14.08385,120.62066,3,522,86662,2024
Port of San Agustin,PHAGN*,BGS,12.56735,122.13633,3,1912,233761,2024
Port of Legazpi,PHLEG,BCL,13.14533,123.75866,1,703,122336,2024
Port of Bulan,PHBUL,BCL,12.66603,123.87257,2,1838,115630,2024
Port of Matnog,PHMTN,BCL,12.58505,124.08598,2,9557,2087363,2024
Port of Pasacao,PHPAC*,BCL,13.50792,123.04251,2,815,105497,2024
Port of Pio Duran,PHPDN*,BCL,13.03278,123.44312,2,2065,329447,2024
Tabaco International Port,PHTBC,BCL,13.361555,123.736835,2,2519,533810,2024
Port of Virac,PHVRC,BCL,13.58296,124.23354,2,1107,120883,2024
Port of Castilla,PHCSL*,BCL,12.95641,123.88293,3,528,107607,2024
Port of Rapu-Rapu,PHRAP*,BCL,13.19439,124.12409,3,917,126474,2024
Port of San Andres (Catanduanes),PHANC*,BCL,13.59844,124.0963,3,1455,410521,2024
Port of Tagbilaran,PHTAG,BHL,9.64987,123.84598,1,7950,2526524,2024
Port of Getafe,PHGET*,BHL,10.1561,124.1587,2,5249,616519,2024
Port of Jagna,PHJAG,BHL,9.65001,124.36677,2,1050,382978,2024
Port of Loon,PHLON*,BHL,9.86263,123.82823,2,2328,145891,2024
Port of Talibon,PHTAL,BHL,10.16828,124.33028,2,2549,161083,2024
Port of Tubigon,PHTON,BHL,9.95729,123.95695,2,8185,1661729,2024
Port of Ubay,PHUBY*,BHL,10.06405,124.4732,2,2587,329990,2024
